epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,558.235,1.00974,0.84664,1.07632,0.88166,0.85389,0.9373,0.67882,0.91243,0.69009,1.04623,0.000990365,0.000990365,0.000990365
43,571.781,1.01181,0.83764,1.05513,0.88133,0.84655,0.93039,0.69284,0.87716,0.70286,1.03031,0.000973861,0.000973861,0.000973861
44,584.847,1.03225,0.83895,1.07108,0.93259,0.84959,0.93334,0.66208,0.99205,0.73868,1.08642,0.000957358,0.000957358,0.000957358
45,596.76,1.01452,0.78182,1.06626,0.87543,0.91769,0.96469,0.72207,0.85152,0.65359,1.01537,0.000940855,0.000940855,0.000940855
46,609.268,1.01283,0.7871,1.09216,0.95565,0.89723,0.97312,0.72306,0.88428,0.6207,1.03595,0.000924352,0.000924352,0.000924352
47,622.91,0.97198,0.74547,1.04394,0.91562,0.9407,0.97808,0.75261,0.81505,0.57916,0.9929,0.000907848,0.000907848,0.000907848
48,636.647,0.97951,0.76279,1.03677,0.89138,0.85999,0.9181,0.67693,0.88998,0.68613,1.03605,0.000891345,0.000891345,0.000891345
49,650.043,0.95211,0.77022,1.03909,0.88822,0.8723,0.92485,0.66023,0.91683,0.67635,1.03196,0.000874842,0.000874842,0.000874842
50,663.286,0.97401,0.73464,1.03569,0.9438,0.92749,0.98017,0.74669,0.84633,0.58421,0.9895,0.000858338,0.000858338,0.000858338
51,675.319,0.97251,0.72864,1.04115,0.96717,0.91431,0.98259,0.73461,0.86522,0.57898,1.00437,0.000841835,0.000841835,0.000841835
52,687.958,0.9644,0.73794,1.03403,0.95419,0.92783,0.98063,0.75632,0.80295,0.54978,0.98146,0.000825332,0.000825332,0.000825332
53,701.555,0.94562,0.71825,1.0277,0.94161,0.96668,0.98639,0.78201,0.75689,0.5132,0.96469,0.000808828,0.000808828,0.000808828
54,714.887,0.92941,0.69893,1.0317,0.95765,0.93506,0.98251,0.76664,0.77135,0.53537,0.95659,0.000792325,0.000792325,0.000792325
55,728.586,0.98413,0.71551,1.05548,0.97473,0.94415,0.98873,0.78295,0.76916,0.51318,0.95668,0.000775822,0.000775822,0.000775822
56,741.494,0.93659,0.69992,1.01839,0.94593,0.97468,0.98843,0.7547,0.83245,0.51873,0.99785,0.000759318,0.000759318,0.000759318
57,753.366,0.97743,0.72318,1.05436,0.95104,0.95823,0.98961,0.75557,0.79848,0.51631,0.9726,0.000742815,0.000742815,0.000742815
58,766.224,0.93143,0.69443,1.03177,0.93422,0.91894,0.98094,0.74312,0.83198,0.59519,1.01093,0.000726312,0.000726312,0.000726312
59,779.742,0.95963,0.74204,1.04058,0.94678,0.96358,0.98283,0.74735,0.8243,0.54874,1.0046,0.000709809,0.000709809,0.000709809
60,793.032,0.93451,0.67566,1.03422,0.95912,0.96847,0.98824,0.776,0.76776,0.49464,0.96511,0.000693305,0.000693305,0.000693305
61,808.02,0.92978,0.68901,1.0239,0.9801,0.94368,0.98882,0.77646,0.7623,0.4955,0.95038,0.000676802,0.000676802,0.000676802
62,821.316,0.87621,0.6175,1.00798,0.98971,0.97009,0.99264,0.78675,0.75127,0.47873,0.95275,0.000660299,0.000660299,0.000660299
63,833.787,0.88553,0.65808,1.00491,0.9908,0.9556,0.99275,0.78837,0.74187,0.4736,0.93994,0.000643795,0.000643795,0.000643795
64,845.68,0.89848,0.65289,1.00607,0.98482,0.95818,0.99095,0.78551,0.75257,0.47736,0.94126,0.000627292,0.000627292,0.000627292
65,859.02,0.91157,0.68386,1.01498,0.96703,0.96844,0.99287,0.79945,0.7152,0.47474,0.92779,0.000610789,0.000610789,0.000610789
66,872.586,0.87524,0.64969,0.99407,0.95915,0.96995,0.99081,0.78917,0.74117,0.48454,0.94049,0.000594286,0.000594286,0.000594286
67,886.026,0.86522,0.63921,0.98877,0.97357,0.96803,0.99117,0.79328,0.73169,0.46998,0.93375,0.000577782,0.000577782,0.000577782
68,899.626,0.85773,0.61803,0.99531,0.99483,0.9492,0.99141,0.80073,0.71428,0.45737,0.92346,0.000561279,0.000561279,0.000561279
69,912.075,0.83361,0.58359,0.97246,0.99638,0.97155,0.99224,0.80572,0.68909,0.43448,0.91953,0.000544776,0.000544776,0.000544776
70,924.464,0.87501,0.60375,0.99883,0.98758,0.98654,0.99437,0.80758,0.70594,0.43384,0.92509,0.000528272,0.000528272,0.000528272
71,938.087,0.8656,0.63014,0.99065,0.98624,0.98244,0.99362,0.79158,0.71766,0.43156,0.93709,0.000511769,0.000511769,0.000511769
72,951.62,0.85471,0.58254,0.98388,0.97791,0.98266,0.99362,0.82005,0.65729,0.42096,0.89865,0.000495266,0.000495266,0.000495266
73,965.169,0.81534,0.58033,0.97036,0.98473,0.95762,0.99139,0.81086,0.69341,0.42783,0.91948,0.000478762,0.000478762,0.000478762
74,978.633,0.82216,0.56536,0.96101,0.97775,0.9638,0.99206,0.79174,0.72202,0.4392,0.93335,0.000462259,0.000462259,0.000462259
75,990.873,0.85017,0.5758,0.96825,0.98085,0.97172,0.99325,0.82081,0.65575,0.41528,0.90093,0.000445756,0.000445756,0.000445756
76,1003.51,0.83043,0.55993,0.97602,0.99156,0.97323,0.99412,0.816,0.67514,0.40935,0.91883,0.000429253,0.000429253,0.000429253
77,1016.94,0.84141,0.57277,0.98143,0.98308,0.97102,0.99344,0.82618,0.64585,0.41223,0.90458,0.000412749,0.000412749,0.000412749
78,1030.54,0.77103,0.53479,0.94936,0.99112,0.98619,0.99362,0.83729,0.62597,0.39483,0.88914,0.000396246,0.000396246,0.000396246
