epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,131.502,1.20835,1.32096,1.1337,0.86468,0.86667,0.91718,0.69713,0.95068,1.20209,1.00565,0.0011684,0.0011684,0.0011684
44,134.086,1.19699,1.14048,1.11618,0.83704,0.88571,0.94517,0.67036,1.00571,1.10393,1.02808,0.0011486,0.0011486,0.0011486
45,136.837,1.22891,1.17947,1.11554,0.8829,0.93348,0.95261,0.68116,0.98166,1.05298,1.02458,0.0011288,0.0011288,0.0011288
46,139.456,1.13886,1.10733,1.08785,0.84127,0.94286,0.96218,0.67193,0.99404,1.09804,1.01954,0.001109,0.001109,0.001109
47,142.498,1.07822,1.08519,1.07307,0.96058,0.87619,0.97312,0.69918,0.94492,0.99318,0.99638,0.0010892,0.0010892,0.0010892
48,146.62,1.1309,1.04675,1.08902,0.95661,0.91429,0.98015,0.71486,0.96936,0.99619,1.00829,0.0010694,0.0010694,0.0010694
49,149.34,1.09433,0.98115,1.08425,0.95324,0.9619,0.98707,0.71831,0.99068,1.0219,1.02717,0.0010496,0.0010496,0.0010496
50,151.853,1.05131,1.0363,1.04671,0.94555,0.93333,0.98657,0.70469,1.02458,1.00762,1.04244,0.0010298,0.0010298,0.0010298
51,154.495,1.08677,1.0672,1.0787,0.88281,0.93264,0.96633,0.69358,1.00371,1.05536,1.02115,0.00101,0.00101,0.00101
52,157.22,1.1793,1.14562,1.11941,0.86782,0.87539,0.95553,0.69963,0.99994,1.05052,1.01728,0.0009902,0.0009902,0.0009902
53,161.553,1.22289,1.10789,1.10113,0.90412,0.89808,0.9647,0.69928,1.02916,1.08152,1.02765,0.0009704,0.0009704,0.0009704
54,164.67,1.10628,1.04892,1.04964,0.9444,0.87619,0.96208,0.70741,0.97243,1.06648,1.00974,0.0009506,0.0009506,0.0009506
55,167.178,1.06756,0.92922,1.06534,0.93421,0.94664,0.98272,0.73248,0.9523,0.92417,0.9929,0.0009308,0.0009308,0.0009308
56,169.88,1.14518,0.98563,1.12008,0.95231,0.95088,0.9894,0.74862,0.90824,0.90753,0.98133,0.000911,0.000911,0.000911
57,172.454,1.04825,1.01015,1.06173,0.98649,0.95238,0.99106,0.74729,0.90835,0.91483,0.97948,0.0008912,0.0008912,0.0008912
58,176.218,1.14354,1.07549,1.112,0.97105,0.95839,0.99158,0.74966,0.88324,0.88299,0.97415,0.0008714,0.0008714,0.0008714
59,180.043,1.10008,1.0617,1.10095,0.96123,0.94463,0.98807,0.74933,0.86533,0.8535,0.96813,0.0008516,0.0008516,0.0008516
60,182.637,1.10128,0.99024,1.08397,0.94505,0.97143,0.99048,0.75464,0.85793,0.83614,0.95789,0.0008318,0.0008318,0.0008318
61,185.205,1.0633,1.00261,1.09609,0.96232,0.97292,0.9931,0.78039,0.80967,0.8453,0.94438,0.000812,0.000812,0.000812
62,187.926,0.99298,0.94806,1.01954,0.97137,0.96924,0.99349,0.74655,0.91766,0.78079,0.98156,0.0007922,0.0007922,0.0007922
63,191.092,1.0418,0.90362,1.03412,0.97642,0.98095,0.99386,0.77112,0.90249,0.74883,0.97092,0.0007724,0.0007724,0.0007724
64,195.043,0.98886,0.89319,1.02083,0.99018,0.96007,0.99359,0.7792,0.83743,0.72341,0.94076,0.0007526,0.0007526,0.0007526
65,197.759,1.08349,0.96727,1.06281,0.98931,0.97143,0.99248,0.77707,0.83004,0.74722,0.93584,0.0007328,0.0007328,0.0007328
66,200.319,1.00551,0.89989,0.99964,0.98544,0.9619,0.99051,0.77318,0.84422,0.80495,0.94207,0.000713,0.000713,0.000713
67,202.746,0.95986,0.85562,0.99444,0.99,0.94264,0.99031,0.77863,0.83237,0.78365,0.93424,0.0006932,0.0006932,0.0006932
68,205.445,0.9777,0.8274,1.00295,0.98526,0.95238,0.99138,0.78461,0.82,0.70089,0.93015,0.0006734,0.0006734,0.0006734
69,209.54,0.97354,0.8682,1.03275,0.98998,0.9619,0.99209,0.795,0.8085,0.68779,0.92605,0.0006536,0.0006536,0.0006536
70,212.821,0.9483,0.8713,1.00751,0.98086,0.97616,0.99363,0.80083,0.783,0.65582,0.91658,0.0006338,0.0006338,0.0006338
71,215.386,1.01998,0.84375,1.04919,0.98756,0.98095,0.99454,0.79602,0.80267,0.65211,0.92149,0.000614,0.000614,0.000614
72,217.986,0.9434,0.78917,0.99526,0.99038,0.98023,0.99462,0.8019,0.7954,0.66875,0.92088,0.0005942,0.0005942,0.0005942
73,220.659,0.85259,0.80101,0.99758,0.98712,0.98095,0.99462,0.81061,0.8044,0.68894,0.92268,0.0005744,0.0005744,0.0005744
74,224.156,0.91183,0.78036,0.99395,1,0.97897,0.9949,0.80339,0.79172,0.67578,0.91351,0.0005546,0.0005546,0.0005546
75,228.097,0.96584,0.82798,1.01959,0.99736,0.98095,0.99463,0.79617,0.767,0.64459,0.90311,0.0005348,0.0005348,0.0005348
76,230.754,0.93345,0.80312,1.0152,0.99038,0.98073,0.99462,0.81365,0.75857,0.62095,0.90659,0.000515,0.000515,0.000515
77,233.319,0.87948,0.78526,0.98323,0.99044,0.98648,0.99481,0.8179,0.75898,0.61679,0.90702,0.0004952,0.0004952,0.0004952
78,235.777,0.83584,0.73743,0.97292,0.99928,0.98095,0.99472,0.79672,0.76933,0.60924,0.90594,0.0004754,0.0004754,0.0004754
79,238.586,0.93928,0.80399,1.00176,0.99627,0.99048,0.995,0.77941,0.78098,0.60794,0.90993,0.0004556,0.0004556,0.0004556
80,242.438,0.92186,0.76843,0.99966,0.98692,0.99048,0.9949,0.77527,0.80002,0.60061,0.91789,0.0004358,0.0004358,0.0004358
81,245.4,0.83815,0.74508,0.95165,0.98999,0.99048,0.99481,0.78124,0.80108,0.60032,0.9203,0.000416,0.000416,0.000416
82,248.004,0.90616,0.7348,0.9931,0.99047,0.98971,0.99452,0.79943,0.76107,0.58456,0.90774,0.0003962,0.0003962,0.0003962
83,250.486,0.83616,0.71311,0.94703,0.99044,0.98699,0.99481,0.81468,0.68559,0.56309,0.88246,0.0003764,0.0003764,0.0003764
84,253.019,0.89067,0.71688,0.96161,0.99919,0.98095,0.99481,0.80906,0.70254,0.56468,0.8829,0.0003566,0.0003566,0.0003566
85,256.414,0.81412,0.69147,0.94841,1,0.97744,0.99454,0.81013,0.69332,0.56718,0.88068,0.0003368,0.0003368,0.0003368
86,260.114,0.82257,0.70548,0.95517,1,0.97581,0.99454,0.82375,0.66897,0.5799,0.87469,0.000317,0.000317,0.000317
87,262.691,0.85976,0.71029,0.93906,0.98608,0.99048,0.99481,0.82565,0.66022,0.55664,0.86896,0.0002972,0.0002972,0.0002972
88,265.194,0.80392,0.66399,0.95131,0.98126,0.99714,0.99481,0.83096,0.6695,0.5336,0.86736,0.0002774,0.0002774,0.0002774
89,267.737,0.81995,0.69696,0.94144,0.98033,1,0.9949,0.8324,0.6634,0.52085,0.86623,0.0002576,0.0002576,0.0002576
90,270.562,0.81299,0.71219,0.93028,0.99055,0.99813,0.99491,0.82686,0.67533,0.50995,0.87143,0.0002378,0.0002378,0.0002378
91,277,0.6896,0.58104,0.90894,0.99055,0.99819,0.995,0.82891,0.67606,0.51523,0.8737,0.000218,0.000218,0.000218
92,279.788,0.70943,0.5731,0.91213,1,0.98965,0.995,0.83359,0.64881,0.50223,0.8645,0.0001982,0.0001982,0.0001982
93,282.381,0.64799,0.54795,0.90896,1,0.99649,0.995,0.83524,0.63313,0.49598,0.8591,0.0001784,0.0001784,0.0001784
94,284.879,0.69496,0.53755,0.87716,1,0.99952,0.995,0.85284,0.6245,0.50106,0.85417,0.0001586,0.0001586,0.0001586
95,288.631,0.72312,0.59471,0.8898,0.99896,1,0.995,0.85846,0.61738,0.49997,0.85205,0.0001388,0.0001388,0.0001388
96,292.074,0.66037,0.54401,0.88112,0.9993,1,0.995,0.8568,0.61225,0.49479,0.85062,0.000119,0.000119,0.000119
97,294.508,0.66762,0.55439,0.8944,0.99936,1,0.995,0.85711,0.61124,0.49118,0.85049,9.92e-05,9.92e-05,9.92e-05
98,296.839,0.64596,0.52225,0.86271,0.99916,1,0.995,0.85955,0.60554,0.48623,0.84995,7.94e-05,7.94e-05,7.94e-05
99,299.395,0.66839,0.55512,0.88715,0.99911,1,0.995,0.8603,0.60291,0.48229,0.8499,5.96e-05,5.96e-05,5.96e-05
100,302.303,0.67138,0.54643,0.901,0.999,1,0.995,0.86339,0.59726,0.47792,0.84885,3.98e-05,3.98e-05,3.98e-05
