epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,355.045,0.98653,0.8316,1.07205,0.89801,0.91183,0.95889,0.73402,0.86811,0.7051,1.02889,0.0011882,0.0011882,0.0011882
43,362.365,0.9847,0.79668,1.08054,0.94284,0.87055,0.95551,0.72595,0.8656,0.74263,1.03056,0.0011684,0.0011684,0.0011684
44,371.656,0.91339,0.77436,1.02334,0.88112,0.88751,0.94474,0.74782,0.81834,0.67855,0.99254,0.0011486,0.0011486,0.0011486
45,378.721,0.98631,0.79175,1.04525,0.95974,0.88673,0.96358,0.76157,0.81434,0.64352,0.99562,0.0011288,0.0011288,0.0011288
46,388.064,0.93397,0.74763,1.03764,0.91039,0.82195,0.88784,0.69042,0.8773,0.88631,1.05778,0.001109,0.001109,0.001109
47,395.097,0.95313,0.81331,1.08419,0.89908,0.8932,0.95002,0.75125,0.79759,0.80351,0.99482,0.0010892,0.0010892,0.0010892
48,404.552,0.91332,0.82976,1.05034,0.84836,0.90528,0.94582,0.74048,0.83525,0.75401,1.01739,0.0010694,0.0010694,0.0010694
49,411.69,0.96822,0.77736,1.08153,0.79377,0.7767,0.81769,0.62163,0.93336,1.0421,1.08004,0.0010496,0.0010496,0.0010496
50,421.101,0.93093,0.71913,1.02044,0.90035,0.79935,0.8985,0.69278,0.87874,0.81112,1.04767,0.0010298,0.0010298,0.0010298
51,428.484,0.91016,0.78625,1.03447,0.89271,0.91552,0.95768,0.75695,0.812,0.64734,1.00274,0.00101,0.00101,0.00101
52,437.723,0.90638,0.76182,1.04997,0.92237,0.88436,0.95015,0.74744,0.80047,0.66597,1.00338,0.0009902,0.0009902,0.0009902
53,445.575,0.90953,0.75734,1.01818,0.93286,0.94175,0.97209,0.78211,0.75855,0.63296,0.9713,0.0009704,0.0009704,0.0009704
54,454.422,0.8696,0.67498,1.00087,0.95928,0.96764,0.98659,0.80299,0.73605,0.52802,0.94889,0.0009506,0.0009506,0.0009506
55,462.791,0.89984,0.70886,1.02166,0.961,0.95793,0.9885,0.79756,0.72276,0.52765,0.94515,0.0009308,0.0009308,0.0009308
56,471.08,0.87919,0.7507,0.99812,0.96711,0.95793,0.98836,0.80804,0.71627,0.53256,0.94375,0.000911,0.000911,0.000911
